Code,MainCost,Debt,AverageConsume,Target
1116261,242371,333849,15.28301887,Low
1170740,485889,0,14.71698113,Low
11117787,161876,313952,3.829787234,Low
1134701,307331,0,7.924528302,Low
117299,311523,0,9.827586207,Low
1154105,131562,0,2.777777778,Low
1169938,0,0,23.93617021,High
11122448,432541,0,13.58490566,Low
1127514,1039053,0,19.67213115,High
1147664,0,0,3.402061856,Low
11135731,225663,656807,14.1509434,Low
1188807,519766,516906,12.35294118,Low
11142274,612607,2911503,23.77358491,Moderate
11119218,5218539,0,32.92682927,High
1191580,3906095,0,28.63636364,High
1166128,214224,0,7.647058824,Low
11139602,2059796,988096,34.61538462,High
112987,1016879,0,27.73584906,High
1183446,192828,912078,10.10526316,Low
11116595,0,1018631,0.0,Low
11143088,426432,0,18.0,Low
1115262,605388,0,16.98113208,Low
119079,1790688,0,22.79279279,High
11158878,119000,106819,0.0,Low
1166974,88667,1107226,0.0,Low
119348,1759373,999810,18.87931034,Moderate
1115527,0,735048,2.222222222,Low
1164185,235643,0,11.05263158,Low
11132973,168468,955170,5.094339623,Low
11120883,135333,758514,0.0,Low
1148179,580238,0,20.58823529,Low
1112023,398100,0,19.81132075,Low
1186420,1504206,1251233,8.571428571,Low
1162851,410457,0,14.66666667,Low
1161526,3097020,0,30.0,High
1148921,177307,520826,10.18867925,Low
1156258,159399,616791,4.528301887,Low
1111656,0,1553167,1.578947368,Low
116203,338648,827147,11.32075472,Low
11151207,137530,47977,0.0,Low
1110424,543478,1974601,15.0,Moderate
11130909,668754,0,18.0,Low
11115459,2175478,3459462,26.66666667,Moderate
11117836,541260,0,13.40425532,Low
11155117,127006,348588,6.206896552,Low
1191209,0,542829,3.6,Low
11152205,1295162,0,20.0,High
1181194,241137,0,7.674418605,Low
1168236,750078,117893,19.14893617,Low
1123152,287712,120670,18.0,Low
1166642,137530,0,0.0,Low
11153977,127006,1189567,6.206896552,Low
1128415,1213521,3050935,19.7260274,Moderate
11153295,0,873166,4.421052632,Low
1183024,707007,0,16.74418605,Low
1156342,732264,0,18.0,Low
1166761,137530,1777062,0.0,Low
1120287,1486372,603731,23.20754717,High
1160915,586933,0,18.94736842,Low
1198946,698563,497170,18.23529412,Low
1161743,2453997,0,27.44680851,High
11117833,143141,152915,2.553191489,Low
1170265,208515,667387,6.0,Low
11135729,279641,1474370,17.54716981,Moderate
11101691,426432,0,18.0,Low
11123642,902138,0,17.05882353,Low
11148447,1252518,0,19.41176471,High
11100703,451516,90539,18.0,Low
1125821,317843,0,10.75471698,Low
11124738,706513,1298401,18.91304348,Moderate
11147062,168468,149785,5.094339623,Low
1111335,1345104,663444,20.5,High
11156835,413808,778404,13.52941176,Low
1147614,243288,0,13.72881356,Low
1124549,3324484,0,29.43396226,High
11148575,210241,1227778,13.01886792,Moderate
1134299,484302,0,13.72881356,Low
1166725,916012,0,17.64705882,Low
11150238,210906,507594,18.0,Low
1130101,818150,0,26.84210526,High
117019,1499873,3583644,14.81481481,Moderate
118599,415116,0,6.101694915,Low
11145132,1647889,0,24.6,High
1140588,140227,861277,0.0,Low
1123429,79333,0,0.0,Low
1139892,3694501,444686,26.93877551,High
11136363,347551,0,18.67924528,Low
1120885,5395254,0,35.66037736,High
1134846,2175478,582734,26.66666667,High
1143060,383157,0,3.305084746,Low
1181433,5416120,0,32.79069767,High
1115523,379615,0,6.226415094,Low
1160248,368540,0,14.28571429,Low
11132702,123667,0,0.0,Low
1118854,2263149,0,25.47169811,High
1184964,4855438,0,34.70588235,High
1183920,262456,1172406,9.411764706,Low
